uid	Subject	Unspecified	HBU	Ivy	Military	Religious	Unknown
227	Molecular Biology	1	1	1	1	0	0
228	Moral Philosophy	1	1	1	1	1	1
229	Mortuary Science	1	1	0	1	1	0
230	Multicultural Studies	1	1	1	1	1	1
231	Museum Studies	1	1	1	1	1	1
232	Music	1	1	1	1	1	1
233	Music Composition	1	1	1	0	1	0
234	Music Education	1	1	1	0	1	0
235	Music Performance	1	1	1	1	1	1
236	Music Studies	1	1	1	0	1	0
237	Music Theory	1	1	1	0	1	0
238	Nanoscience	1	1	1	1	0	0
239	Native American St.	1	1	1	1	1	1
240	Natural Resources	1	1	1	1	1	1
241	Naval Engineering	1	1	0	2	1	0
242	Neuroscience	1	1	1	1	1	1
243	North African Studies	1	1	1	1	1	1
244	Nuclear Engineering	1	1	1	1	0	0
245	Nuclear Science	1	1	1	1	0	0
246	Nursing 	1	1	0	1	1	0
247	Nutrition	1	1	1	1	1	1
248	Occupational Therapy	1	1	0	1	1	0
249	Ocean Sciences	1	1	1	1	1	1
250	Oceanography	1	1	1	1	1	1
251	Office Management	1	1	1	1	1	1
252	Operations Management	1	1	0	1	1	0
253	Optometry	1	1	1	1	1	1
254	Oral Health	1	1	0	1	1	0
255	Organizational St.	1	1	0	1	1	0
256	Osteopathic Medicine	1	1	1	1	1	1
257	Pacific Island St.	1	1	1	1	1	1
258	Painting	1	1	1	1	1	1
259	Paleontology	1	1	1	1	0	0
260	Parks & Recreation	1	1	0	1	1	0
261	Pastoral Studies	1	1	1	1	1	1
262	Performing Arts	1	1	1	0	1	0
263	Pharmacology	1	1	1	1	0	0
264	Pharmacy	1	1	1	1	0	0
265	Philosophy	1	1	1	1	1	1
266	Photography	1	1	1	1	1	1
267	Physical Education	1	1	0	1	1	0
268	Physical Sciences	1	1	1	1	1	1
269	Physics	1	1	1	1	1	1
270	Physiology	1	1	1	1	1	1
271	Physiotherapy	1	1	1	1	1	1
272	Planning 	1	1	1	1	1	1
273	Plant Biology	1	1	1	1	0	0
274	Playwriting	1	1	1	0	1	0
275	Podiatry	1	1	1	1	1	1
276	Polish	1	1	1	1	1	1
277	Political Science	1	1	2	1	1	1
278	Political Studies	1	1	2	1	1	1
279	Polymer Eng.	1	1	1	1	1	1
280	Population Studies	1	1	0	1	1	0
281	Portuguese	1	1	1	1	1	1
282	Printmaking 	1	1	1	1	1	1
283	Procurement M'ment	1	1	0	1	1	0
284	Psychology	1	1	1	1	1	1
285	Public Administration	1	1	1	1	1	1
286	Public Health	1	1	1	1	1	1
287	Public Policy	1	1	1	1	1	1
288	Public Relations	1	1	0	1	1	0
289	Public Speaking	1	1	0	1	1	0
290	Pure Mathematics	1	1	2	1	1	1
291	Radiation Therapy	1	1	1	1	1	1
292	Radio & TV	1	1	1	1	1	1
293	Radiologic Technology	1	1	1	1	1	1
294	Real Estate	1	1	0	1	1	0
295	Rehab. Therapy	1	1	0	1	1	0
296	Religion	1	1	1	0	2	0
297	Religious Education	1	1	1	0	2	0
298	Religious Studies	1	1	1	0	2	0
299	Renaissance Studies	1	1	1	1	1	1
300	Respiratory Therapy	1	1	1	1	1	1
301	Restaurant Management	1	1	0	1	1	0
302	Risk Management	1	1	0	1	1	0
303	Romance Languages	1	1	1	1	1	1
304	Russian	1	1	1	1	1	1
305	Russian Studies	1	1	1	1	1	1
306	Sales Management 	1	1	0	1	1	0
307	Scandinavian Studies	1	1	1	1	1	1
308	Science Education	1	1	1	1	0	0
309	Screenwriting	1	1	1	0	1	0
310	Sculpture 	1	1	1	0	1	0
311	Secretarial Studies	1	1	0	1	1	0
312	Small Business M'ment	1	1	0	1	1	0
313	Social Justice	1	2	1	1	0	0
314	Social Policy	1	1	1	1	1	1
315	Social Science	1	1	1	1	1	1
316	Social Work	1	1	0	1	1	0
317	Sociology	1	1	1	1	1	1
318	Space Sciences	1	1	1	2	1	1
319	Spanish	1	1	1	1	1	1
320	Special Education	1	1	0	1	1	0
321	Speech/Lang. Therapy	1	1	1	1	1	1
322	Sport Analytics 	1	1	1	1	1	1
323	Sport Business 	1	1	1	1	1	1
324	Sport Coaching	1	1	1	1	1	1
325	Sport Management	1	1	1	1	1	1
326	Sport Science	1	1	1	1	1	1
327	Stage Management	1	1	1	0	1	0
328	Statistics	1	1	1	1	1	1
329	Structural Biology	1	1	1	1	0	0
330	Surgical Technology	1	1	1	1	1	1
331	Surveying	1	1	0	1	1	0
332	Sustainability	1	1	0	1	1	0
333	Taxation	1	1	1	1	1	1
334	Teacher Education	1	1	0	1	1	0
335	Textiles	1	1	0	1	1	0
336	Theater Studies	1	1	1	0	1	0
337	Theology	1	1	1	0	2	0
338	Tourism	1	1	0	1	1	0
339	Toxicology	1	1	1	1	1	1
340	Translation Studies	1	1	1	1	1	1
341	Transport & Materials	1	1	1	1	1	1
342	Urban Planning	1	1	1	1	1	1
343	Urban Studies	1	1	0	1	1	0
344	Veterinary Science	1	1	1	1	1	1
345	Visual Arts	1	1	0	1	1	0
346	Webpage Design	1	1	0	1	1	0
347	Welding Technology	1	1	0	1	1	0
348	Wildlife Management	1	1	0	1	1	0
349	Women’s Studies	1	1	1	1	0	0
350	Writing 	1	1	1	1	1	1
351	Yiddish Studies	1	0	1	1	0	0
352	Zoology	1	1	1	1	0	0
