uid	city	state
599	Huntington	CT
600	Huntington	NY
601	Huntington	WV
602	Huntsville	AL
603	Hutchins	TX
604	Hutchinson	KS
605	Hutchinson	MN
606	Hyattville	WY
607	Hyde Park	MA
608	Idabel	OK
609	Ila	GA
610	Independence	MO
611	Independence	OH
612	Indian Head	MD
613	Indianapolis	IN
614	Ingleside	TX
615	Inglewood	CA
616	Iron Mountain	MI
617	Ironton	OH
618	Irvine	CA
619	Irving	TX
620	Jackson	CA
621	Jackson	MN
622	Jackson	MS
623	Jacksonville	FL
624	Jacksonville	GA
625	Jacksonville	NC
626	Jamesport	MO
627	Jamestown	ND
628	Jekyll Island	GA
629	Jenkintown	PA
630	Jersey City	NJ
631	Jewett	TX
632	Johnson City	TN
633	Johnstown	OH
634	Johnstown	PA
635	Joliet	IL
636	Jonesboro	AR
637	Joplin	MO
638	Jupiter	FL
639	Jurupa Valley	CA
640	Kalamazoo	MI
641	Kansas City	KS
642	Kansas City	MO
643	Katy	TX
644	Kearney	NE
645	Kelly	NC
646	Kenosha	WI
647	Kent	WA
648	Keokuk	IA
649	Kerrville	TX
650	Killeen	TX
651	King City	CA
652	King Of Prussia	PA
653	Kingsport	TN
654	Kingstree	SC
655	Kirksville	MO
656	Kissimmee	FL
657	Klamath Falls	OR
658	Knoxville	MO
659	Knoxville	TN
660	La Crosse	IN
661	La Mesa	CA
662	Laconia	NH
663	Lafayette	IN
664	Lafayette	LA
665	Lagrange	GA
666	Lagrangeville	NY
667	Lake Charles	LA
668	Lake Forest	IL
669	Lake Placid	FL
670	Lake Powell	UT
671	Lake Tomahawk	WI
672	Lakeland	FL
673	Lakeland	GA
674	Lakeside Park	KY
675	Lakeside	MT
676	Lakewood	CO
677	Lakewood	NJ
678	Lancaster	CA
679	Lancaster	PA
680	Lancaster	VT
681	Landover	MD
682	Lane	KS
683	Lansing	MI
684	Laredo	TX
685	Largo	FL
686	Larslan	MT
687	Las Cruces	NM
688	Las Vegas	NV
689	Laurel Springs	NJ
690	Laurel	MD
691	Laurel	VA
692	Laurinburg	NC
693	Lawrence	MA
694	Lawton	OK
695	Le Roy	IA
696	League City	TX
697	Lebo	KS
698	Lee S Summit	MO
699	Leesburg	GA
700	Leesburg	VA
701	Lenexa	KS
702	Lenexa	MO
703	Lenoir	NC
704	Lenore	ID
705	Levittown	NY
706	Lewiston	ID
707	Lewiston	NY
708	Lewisville	TX
709	Lexington	KY
710	Liberal	KS
711	Liberty	NC
712	Lilburn	GA
713	Lincoln	IL
714	Lincoln	NE
715	Lincolnville	PA
716	Linthicum Heights	MD
717	Lisbon	NH
718	Little Compton	RI
719	Little Rock	AR
720	Littleton	CO
721	Live Oak	FL
722	Livonia	MI
723	Lock Haven	PA
724	Lockney	TX
725	Lodi	CA
726	Lodi	NY
727	Lodi	WI
728	Lombard	IL
729	Lometa	TX
730	Lomita	CA
731	Lompoc	CA
732	Londonderry	NH
733	Lone Pine	CA
734	Long Beach	CA
735	Long Island City	NY
736	Long Prairie	MN
737	Longview	TX
738	Longwood	FL
739	Loon Lake	WA
740	Lopez	WA
741	Los Alamos	NM
742	Los Angeles	CA
743	Lostine	OR
744	Loudonville	OH
745	Louisville	KY
746	Lovell	WY
747	Lowell	MA
748	Lubbock	TX
749	Lynchburg	OH
750	Lynchburg	VA
751	Lyndhurst	NJ
752	Macon	GA
753	Maddock	ND
754	Madison	WI
755	Madisonville	KY
756	Magnolia	AR
757	Maitland	FL
758	Malden	MA
759	Mammoth	WY
760	Manawa	WI
761	Manchester	CT
762	Manchester	IL
763	Manchester	MO
764	Manchester	NH
765	Mandarin	FL
766	Manhattan Beach	CA
767	Manhattan	KS
768	Manhattan	NY
769	Mankato	MN
770	Mansfield	OH
771	Maple Heights	OH
772	Maple Shade	NJ
773	Maplewood	MN
774	Marianna	FL
775	Mariaville	NY
776	Marietta	GA
777	Marietta	OH
778	Marion	NC
779	Marked Tree	AR
780	Marlboro	MA
781	Marlton	NJ
782	Marquette	MI
783	Marseilles	IL
784	Martinez	CA
785	Maryland Heights	MO
786	Mascot	TN
787	Mason	OH
788	Matthews	NC
789	Mattoon	IL
790	May	ID
791	Mc Connelsville	OH
792	Mc Lean	MD
793	McAllen	TX
794	Mcallen	TX
795	Mckeesport	PA
796	McKinney	TX
797	Mclean	VA
798	Mcveytown	PA
799	Meacham	OR
800	Meadow	SD
801	Meads	KY
802	Medford	WI
803	Medicine Mound	TX
804	Megargel	TX
805	Mekoryuk	AK
806	Melvin	IL
807	Memphis	MS
808	Memphis	TN
809	Mena	OK
810	Mendenhall	MS
811	Mendon	MI
812	Menlo	KS
813	Meridian	MS
814	Merrillville	IN
815	Mesa	AZ
816	Mesquite	TX
817	Metairie	LA
818	Metigoshe	ND
819	Metropolis	IL
820	Metuchen	NJ
821	Mexico	MO
822	Miami Gardens	FL
823	Miami Springs	FL
824	Miami	FL
825	Michigan City	IN
826	Middleboro	MA
827	Midland	TX
828	Milford	CT
829	Milford	KS
830	Milford	TX
831	Millbrae	CA
832	Milton	PA
833	Milwaukee	WI
834	Mineola	NY
835	Minford	OH
836	Minneapolis	MN
837	Minnetonka	MN
838	Mira Loma	CA
839	Miramar	FL
840	Mishawaka	IN
841	Mission	KS
842	Mission	TX
843	Mobile	AL
844	Modesto	CA
845	Modoc	IN
846	Monroe	GA
847	Monroe	LA
848	Monroe	OH
849	Monsey	NY
850	Monterey	CA
851	Montezuma	IN
852	Montgomery	AL
853	Montgomery	TX
854	Montrose	CA
855	Moorland	IA
856	Moreno Valley	CA
857	Morrisville	NC
858	Moses Lake	WA
859	Moulton	TX
860	Moultrie	GA
861	Moundridge	KS
862	Mount Charleston	NV
863	Mount Juliet	TN
864	Mount Vernon	OH
865	Mount Vernon	SD
866	Mount Vernon	TX
867	Mountain View	CA
868	Mountain Village	AK
869	Mullens	WV
870	Mullins	SC
871	Munnsville	NY
872	Murfreesboro	TN
873	Murray	UT
874	Murrieta	CA
875	Muscatine	IA
876	Muskegon	MI
877	Mutual	OK
878	Myrtle Beach	SC
879	Napavine	WA
880	Naperville	IL
881	Nashville	GA
882	Nashville	TN
883	Natchez	MS
884	Naugatuck	CT
885	Nederland	TX
886	Neodesha	KS
887	New Berlin	WI
888	New Brunswick	NJ
889	New Castle	DE
890	New Castle	IN
891	New Haven	CT
892	New Holstein	WI
893	New London	CT
894	New Milford	CT
895	New Orleans	LA
896	New Paris	IN
897	New Philadelphia	OH
898	New Rome	OH
899	New Ulm	MN
900	New York	NY
901	Newark Valley	NY
902	Newark	DE
903	Newark	NJ
904	Newark	PA
905	Newbury Park	CA
906	Newburyport	MA
907	Newport News	VA
908	Newport	RI
909	Newton	IL
910	Newton	NC
911	Newton	WI
912	Niagara Falls	NY
913	Nine Mile	TN
914	Norcross	GA
915	Norfolk	VA
916	Norman	OK
917	Norristown	DE
918	North Adams	VT
919	North Billerica	MA
920	North Bloomfield	OH
921	North Charleston	SC
922	North Dade	FL
923	North Greenbush	NY
924	North Highlands	CA
925	North Hollywood	CA
926	North Kingstown	RI
927	North Las Vegas	NV
928	North Little Rock	AR
929	North St Paul	MN
930	North Vernon	IN
931	Northampton	PA
932	Northbrook	IL
933	Northglenn	CO
934	Northridge	CA
935	Norwalk	CA
936	Norwich	CT
937	Norwood	OH
938	Oak Creek	WI
939	Oak Grove	MO
940	Oak Harbor	WA
941	Oak Park	IL
942	Oakland	CA
943	Ocala	FL
944	Oceanside	CA
945	Odessa	TX
946	Ogden	UT
947	Okeechobee	FL
948	Okemah	OK
949	Oklahoma City	OK
950	Oklee	MN
951	Olathe	KS
952	Old Fort	OH
953	Olean	NY
954	Olmsted	IL
955	Olympia	WA
956	Omaha	NE
957	Onida	SD
958	Ontario	CA
959	Opa Locka	FL
960	Opelika	AL
961	Orange City	FL
962	Orange Park	FL
963	Orange	CA
964	Orchard Park	NY
965	Oregon	OH
966	Orlando	FL
967	Oroville	CA
968	Osage Beach	MO
969	Osborne	KS
970	Oswego	NY
971	Otsego	MI
972	Overland Park	KS
973	Owatonna	MN
974	Owensboro	KY
975	Owensville	MO
976	Owings Mills	MD
977	Oxford	NC
978	Oxnard	CA
979	Pacific Palisades	CA
980	Pacific	MO
981	Pacoima	CA
982	Paducah	KY
983	Palm Bay	FL
984	Palm Coast	FL
985	Palm Springs	CA
986	Palmdale	CA
987	Palmer	IA
988	Palo Alto	CA
989	Panama	NY
990	Paoli	OK
991	Paoli	PA
992	Park Ridge	IL
993	Parker Dam	CA
994	Parkersburg	WV
995	Parsippany	NJ
996	Parsons	OK
997	Pasadena	CA
998	Pasadena	TX
999	Pascagoula	MS
1000	Passaic	NJ
1001	Pataskala	OH
1002	Patchogue	NY
1003	Paterson	NJ
1004	Patricksburg	IN
1005	Pawhuska	OK
1006	Pawleys Island	SC
1007	Pawtucket	RI
1008	Pearl City	HI
1009	Pearl River	NY
1010	Pearland	TX
1011	Pembroke Pines	FL
1012	Pennsauken	NJ
1013	Pensacola	FL
1014	Peoria	AZ
1015	Peoria	IL
1016	Perham	MN
1017	Perrine	FL
1018	Perris	CA
1019	Petaluma	CA
1020	Petoskey	MI
1021	Pewaukee	WI
1022	Phenix City	AL
1023	Phila	PA
1024	Philadelphia	DE
1025	Philadelphia	PA
1026	Phoenix	AZ
1027	Pico Rivera	CA
1028	Pikesville	MD
1029	Pilot Station	AK
1030	Pine Bluff	AR
1031	Pinellas	FL
1032	Pinewood	SC
1033	Pipe Creek	TX
1034	Piscataway	NJ
1035	Pittsburgh	PA
1036	Pittsfield	MA
1037	Pittston	PA
1038	Pittstown	NY
1039	Plankinton	SD
1040	Plano	TX
1041	Plant City	FL
1042	Plantation	FL
1043	Pleasant Grove	AR
1044	Pleasanton	TX
1045	Pleasantville	NJ
1046	Plevna	MT
1047	Plum Branch	SC
1048	Plymouth	IN
1049	Plymouth	MI
1050	Plymouth	MN
1051	Plymouth	WI
1052	Pocatello	ID
1053	Pokagon	IN
1054	Polk City	FL
1055	Pomona	CA
1056	Pompano Beach	FL
1057	Pontiac	MI
1058	Pooler	GA
1059	Port Huron	MI
1060	Port St. Lucie	FL
1061	Port Washington	NY
1062	Portage	MI
1063	Portland	KY
1064	Portland	ME
1065	Portland	OR
1066	Portland	PA
1067	Portland	WA
1068	Post Falls	ID
1069	Poughkeepsie	NY
1070	Powell	MT
1071	Princess Anne	VA
1072	Princeton	IL
1073	Princeville	IL
1074	Prospect Plains	NJ
1075	Providence	RI
1076	Provo	UT
1077	Pueblo	CO
1078	Pulaski	VA
1079	Punta Gorda	FL
1080	Puyallup	WA
1081	Queens	NY
1082	Quincy	IL
1083	Quincy	MA
1084	Racine	WI
1085	Rahway	NJ
1086	Raleigh	NC
1087	Ramona	CA
1088	Ramsey	NJ
1089	Rancho Cordova	CA
1090	Rancho Cucamonga	CA
1091	Rancho Dominguez	CA
1092	Ranchvale	NM
1093	Rangely	CO
1094	Rapid City	MI
1095	Raytown	MO
1096	Redding	CA
1097	Redfield	SD
1098	Redmond	WA
1099	Redwood City	CA
1100	Reeds Spring	MO
1101	Reno	NV
1102	Renton	WA
1103	Rentz	GA
1104	Republic	MO
1105	Reston	MD
1106	Revere	MA
1107	Rialto	CA
1108	Richardson	TX
1109	Richfield	UT
1110	Richland	OR
1111	Richmond	CA
1112	Richmond	IN
1113	Richmond	VA
1114	Ridgeland	MS
1115	Ridgeland	SC
1116	Rifle	CO
1117	Rio Grande City	TX
1118	Rising Sun	IN
1119	Rittman	OH
1120	Riverside	CA
1121	Roanoke	VA
1122	Rochelle Park	NJ
1123	Rocheport	MO
1124	Rochester	IN
1125	Rochester	MN
1126	Rochester	NY
1127	Rockford	IL
1128	Rocklin	CA
1129	Rockville	MD
1130	Rockville	NE
1131	Rocky Mount	NC
1132	Rogers	AR
1133	Rogue River	OR
1134	Rolla	MO
1135	Rome	GA
1136	Roseboro	NC
1137	Roseburg	OR
1138	Rosenberg	TX
1139	Roseville	CA
1140	Roseville	MI
1141	Rossville	IL
1142	Roswell	NM
1143	Round Rock	TX
1144	Rowan Bay	AK
1145	Roxboro	NC
1146	Roxbury	MA
1147	Royal Oak	MI
1148	Rupert	ID
1149	Russellville	AR
1150	S Boston	MA
1151	Sabinal	TX
1152	Sacramento	CA
1153	Safford	AZ
1154	Saginaw	MI
1155	Saint Albans	WV
1156	Saint Clairsville	OH
1157	Saint Cloud	MN
1158	Saint Louis	IL
1159	Saint Louis	MO
1160	Saint Paul	MN
1161	Saint Petersburg	FL
1162	Salem	OR
1163	Salina	KS
1164	Salinas	CA
1165	Salt Lake City	UT
1166	San Angelo	TX
1167	San Antonio	TX
1168	San Benito	TX
1169	San Bernardino	CA
1170	San Bruno	CA
1171	San Diego	CA
1172	San Francisco	CA
1173	San Geronimo	CA
1174	San Jose	CA
1175	San Leandro	CA
1176	San Luis Obispo	CA
1177	San Marcos	CA
1178	San Marcos	TX
1179	San Martin	CA
1180	San Mateo	CA
1181	San Rafael	CA
1182	Sandy Springs	GA
1183	Sanford	FL
1184	Sanford	TX
1185	Santa Ana	CA
1186	Santa Barbara	CA
1187	Santa Clara	CA
1188	Santa Clarita	CA
1189	Santa Fe Springs	CA
1190	Santa Fe	TX
1191	Santa Maria	CA
1192	Santa Monica	CA
1193	Santa Rosa	CA
1194	Santee	CA
1195	Saranac	NY
1196	Sarasota	FL
1197	Savannah	GA
1198	Savannah	TN
1199	Schaumburg	IL
1200	Schellsburg	PA
1201	Scottsburg	IN
1202	Scottsdale	AZ
1203	Scranton	PA
1204	Seagrove Beach	FL
1205	Seal Beach	CA
1206	Sealy	TX
1207	Seattle	WA
1208	Secaucus	NJ
1209	Severna Park	MD
1210	Sewickley	PA
1211	Sharon	KS
1212	Sharonville	OH
1213	Sheboygan Falls	WI
1214	Sheffield Lake	OH
1215	Shelby	MT
1216	Shelton	WA
1217	Shemya	AK
1218	Sheridan	OR
1219	Sherman Oaks	CA
1220	Shoreview	MN
1221	Shreveport	LA
1222	Shrewsbury	MA
1223	Sikeston	MO
1224	Silver Bay	MN
1225	Silver Spring	MD
1226	Simi Valley	CA
1227	Sinton	TX
1228	Sioux Falls	SD
1229	Sisters	OR
1230	Slidell	LA
1231	Slippery Rock	PA
1232	Smithfield	VA
1233	Smithville	TN
1234	Smyrna	GA
1235	Smyrna	TN
1236	Socorro	NM
1237	Somerset	KY
1238	Soso	MS
1239	South Bend	IN
1240	South Boston	MA
1241	South Burlington	VT
1242	South Canaan	PA
1243	South China	ME
1244	South Gate	CA
1245	South Solon	OH
1246	Southfield	MI
1247	Spanish Fort	AL
1248	Sparks	NV
1249	Spencer	NE
1250	Spokane	WA
1251	Spring Valley	NY
1252	Springdale	AR
1253	Springfield	IL
1254	Springfield	MA
1255	Springfield	MO
1256	Springfield	OR
1257	Springfield	TN
1258	Springfield	VA
1259	St Cloud	MN
1260	St Gabriel	LA
1261	St. Louis	MO
1262	St. Petersburg	FL
1263	Stamford	CT
1264	Stanford	IL
1265	Stanton	TX
1266	Starkville	MS
