tag	description	achieved	valid_in
ACH_DEFENSE5	Build 5 star defense	0	fr,co
ACH_MORALE100	Achieve 100% team morale	0	fr,co
ACH_FANS100	Get 100% fan rating	0	fr,co
ACH_HIRE_OF	Hire an offensive coordinator	0	fr,co
ACH_HIRE_DF	Hire a defensive coordinator	0	fr,co
ACH_HIRE_OF5	Hire a 5 star OF coordinator	0	fr,co
ACH_HIRE_DF5	Hire a 5 star DF coordinator	0	fr,co
ACH_PASS10	Make a 10 yard passing play	0	fr,co
ACH_PASS25	Make a 25 yard passing play	0	fr,co
ACH_PASS50	Make a 50 yard passing play	0	fr,co
ACH_RUN5	Make a 5 yard running play	0	fr,co
ACH_RUN10	Make a 10 yard running play	0	fr,co
ACH_RUN15	Make a 15 yard running play	0	fr,co
ACH_GAME_PASS_200	Pass for 200 yards in a game	0	fr,co
ACH_GAME_PASS_300	Pass for 300 yards in a game	0	fr,co
ACH_GAME_PASS_400	Pass for 400 yards in a game	0	fr,co
ACH_GAME_PASS_500	Pass for 500 yards in a game	0	fr,co
ACH_GAME_COMPLETE_100	100% pass completion in a game	0	fr,co
ACH_GAME_RUSH_50	Rush for 50 yards in a game	0	fr,co
ACH_GAME_RUSH_100	Rush for 100 yards in a game	0	fr,co
ACH_GAME_RUSH_150	Rush for 150 yards in a game	0	fr,co
ACH_TEAMS2	Take charge of a new team	0	fr,co
ACH_SHUTOUT	Stop opponent from scoring	0	fr,co
ACH_SCORE50	Score 50 points in a game	0	fr,co
ACH_COACHEXTEND	Extend a coach contract	0	fr,co
ACH_FREEAGENT5	Sign a 5 star free agent	0	fr
ACH_BACKTOBACK	Win 2 Retro Bowls in 2 seasons	0	fr
ACH_THREEPEAT	Win 3 Retro Bowls in 3 seasons	0	fr
ACH_RETROBOWL_NOSTARQB	Retro Bowl without star QB	0	fr
ACH_RETROBOWL_NOSTAR	Retro Bowl without star player	0	fr
ACH_WIN_NOSTARQB	Win a game without a star QB	0	fr,co
ACH_WIN_NOSTAR	Win a game without a star player	0	fr,co
ACH_TD_QB	Score a touchdown with the QB	0	fr,co
ACH_TD_PASS50	Throw 50 touchdowns in a season	0	fr,co
ACH_DOINK	Doink a field goal	0	fr,co
ACH_RETURN_25	Make a 25 yard kickoff return	0	fr,co
ACH_RETURN_50	Make a 50 yard kickoff return	0	fr,co
ACH_RETURN_75	Make a 75 yard kickoff return	0	fr,co
ACH_RETURN_TD	Score a touchdown return	0	fr,co
ACH_NEW_FRESHMAN	Add a new Freshman to the Roster	0	co
ACH_SENIOR_DRAFTR1	Have a Senior drafted as a R1 pick	0	co
ACH_SENIOR_DRAFTR2	Have a Senior drafted as a R2 pick	0	co
ACH_SENIOR_DRAFTR3	Have a Senior drafted as a R3 pick	0	co
ACH_SENIOR_GRAD	Have a Senior player graduate	0	co
ACH_JUNIOR_DRAFT	Have a Junior player drafted	0	co
ACH_WIN_MAJOR_SUB	Win the Major Subdivision	0	co
ACH_WIN_MINOR_SUB	Win the Minor Subdivision	0	co
ACH_WIN_CONF_DIV	Finish top of a Division or Conf.	0	co
ACH_WIN_ANY_BOWL	Win any Bowl game	0	co
