year	week	away_team	home_team	away_score	home_score
1	2	71	67	-1	-1
1	2	73	72	-1	-1
1	2	74	76	-1	-1
1	2	82	47	-1	-1
1	2	86	116	-1	-1
1	2	87	55	-1	-1
1	2	88	48	-1	-1
1	2	90	93	-1	-1
1	2	91	106	-1	-1
1	2	92	80	-1	-1
1	2	96	119	-1	-1
1	2	98	131	-1	-1
1	2	99	50	-1	-1
1	2	101	103	-1	-1
1	2	102	118	-1	-1
1	2	105	70	-1	-1
1	2	109	95	-1	-1
1	2	113	111	-1	-1
1	2	117	133	-1	-1
1	2	121	83	-1	-1
1	2	122	100	-1	-1
1	2	124	136	-1	-1
1	2	125	69	-1	-1
1	2	127	132	-1	-1
1	2	129	128	-1	-1
1	2	130	144	-1	-1
1	2	137	134	-1	-1
1	2	142	139	-1	-1
1	2	148	97	-1	-1
1	2	150	287	-1	-1
1	2	156	138	-1	-1
1	2	159	94	-1	-1
1	2	160	155	-1	-1
1	2	164	173	-1	-1
1	2	165	273	-1	-1
1	2	167	141	-1	-1
1	2	168	261	-1	-1
1	2	169	114	-1	-1
1	2	171	123	-1	-1
1	2	175	221	-1	-1
1	2	178	176	-1	-1
1	2	179	197	-1	-1
1	2	180	115	-1	-1
1	2	181	266	-1	-1
1	2	182	247	-1	-1
1	2	183	166	-1	-1
1	2	188	85	-1	-1
1	2	189	172	-1	-1
1	2	191	185	-1	-1
1	2	192	32	-1	-1
1	2	194	281	-1	-1
1	2	195	161	-1	-1
1	2	198	89	-1	-1
1	2	200	231	-1	-1
1	2	202	290	-1	-1
1	2	204	228	-1	-1
1	2	208	187	-1	-1
1	2	209	232	-1	-1
1	2	211	170	-1	-1
1	2	212	38	-1	-1
1	2	214	68	-1	-1
1	2	215	227	-1	-1
1	2	217	78	-1	-1
1	2	218	177	-1	-1
1	2	220	213	-1	-1
1	2	223	291	-1	-1
1	2	224	206	-1	-1
1	2	226	153	-1	-1
1	2	230	157	-1	-1
1	2	233	56	-1	-1
1	2	234	251	-1	-1
1	2	235	249	-1	-1
1	2	237	240	-1	-1
1	2	238	243	-1	-1
1	2	239	270	-1	-1
1	2	241	201	-1	-1
1	2	242	174	-1	-1
1	2	244	205	-1	-1
1	2	245	34	-1	-1
1	2	246	61	-1	-1
1	2	248	203	-1	-1
1	2	250	51	-1	-1
1	2	252	149	-1	-1
1	2	253	216	-1	-1
1	2	254	53	-1	-1
1	2	255	37	-1	-1
1	2	256	62	-1	-1
1	2	258	286	-1	-1
1	2	260	41	-1	-1
1	2	262	259	-1	-1
1	2	263	35	-1	-1
1	2	264	257	-1	-1
1	2	265	268	-1	-1
1	2	267	151	-1	-1
1	2	269	152	-1	-1
1	2	271	104	-1	-1
1	2	274	184	-1	-1
1	2	275	190	-1	-1
1	2	278	65	-1	-1
1	2	279	147	-1	-1
1	2	282	36	-1	-1
1	2	284	107	-1	-1
1	2	285	140	-1	-1
1	2	289	210	-1	-1
1	2	292	75	-1	-1
1	3	32	33	-1	-1
1	3	39	45	-1	-1
1	3	41	37	-1	-1
1	3	44	34	-1	-1
1	3	46	109	-1	-1
1	3	47	147	-1	-1
1	3	51	65	-1	-1
1	3	61	63	-1	-1
1	3	64	58	-1	-1
1	3	66	140	-1	-1
1	3	67	76	-1	-1
1	3	68	78	-1	-1
1	3	70	80	-1	-1
1	3	73	77	-1	-1
1	3	74	107	-1	-1
1	3	87	136	-1	-1
1	3	90	42	-1	-1
1	3	93	158	-1	-1
1	3	94	139	-1	-1
1	3	95	35	-1	-1
1	3	96	287	-1	-1
1	3	97	62	-1	-1
1	3	99	81	-1	-1
1	3	102	75	-1	-1
1	3	106	157	-1	-1
1	3	111	119	-1	-1
1	3	113	71	-1	-1
1	3	114	151	-1	-1
1	3	116	161	-1	-1
1	3	117	55	-1	-1
1	3	120	40	-1	-1
1	3	121	104	-1	-1
1	3	123	152	-1	-1
1	3	125	126	-1	-1
1	3	127	128	-1	-1
1	3	129	135	-1	-1
1	3	131	130	-1	-1
1	3	133	137	-1	-1
1	3	134	132	-1	-1
1	3	141	100	-1	-1
1	3	143	150	-1	-1
1	3	148	142	-1	-1
1	3	155	159	-1	-1
1	3	156	153	-1	-1
1	3	163	210	-1	-1
1	3	164	49	-1	-1
1	3	165	236	-1	-1
1	3	166	162	-1	-1
1	3	168	43	-1	-1
1	3	169	239	-1	-1
1	3	171	172	-1	-1
1	3	173	174	-1	-1
1	3	176	180	-1	-1
1	3	178	271	-1	-1
1	3	183	269	-1	-1
1	3	184	145	-1	-1
1	3	186	103	-1	-1
1	3	187	197	-1	-1
1	3	193	191	-1	-1
1	3	195	189	-1	-1
1	3	196	105	-1	-1
1	3	198	194	-1	-1
1	3	201	266	-1	-1
1	3	203	243	-1	-1
1	3	204	199	-1	-1
1	3	207	230	-1	-1
1	3	208	82	-1	-1
1	3	213	108	-1	-1
1	3	214	215	-1	-1
1	3	220	234	-1	-1
1	3	221	219	-1	-1
1	3	222	218	-1	-1
1	3	223	217	-1	-1
1	3	224	200	-1	-1
1	3	225	179	-1	-1
1	3	226	205	-1	-1
1	3	227	175	-1	-1
1	3	228	59	-1	-1
1	3	229	124	-1	-1
1	3	231	146	-1	-1
1	3	232	112	-1	-1
1	3	233	212	-1	-1
1	3	237	86	-1	-1
1	3	238	154	-1	-1
1	3	242	188	-1	-1
1	3	244	50	-1	-1
1	3	246	253	-1	-1
1	3	249	248	-1	-1
1	3	250	247	-1	-1
1	3	252	289	-1	-1
1	3	255	251	-1	-1
1	3	257	262	-1	-1
1	3	258	261	-1	-1
1	3	259	88	-1	-1
1	3	264	91	-1	-1
1	3	265	263	-1	-1
1	3	270	54	-1	-1
1	3	272	57	-1	-1
1	3	273	181	-1	-1
1	3	276	285	-1	-1
1	3	279	283	-1	-1
1	3	280	277	-1	-1
1	3	281	160	-1	-1
1	3	282	167	-1	-1
1	3	284	278	-1	-1
1	3	286	84	-1	-1
1	3	288	254	-1	-1
1	3	290	118	-1	-1
1	3	291	240	-1	-1
1	3	292	182	-1	-1
1	4	32	37	-1	-1
1	4	38	41	-1	-1
1	4	42	36	-1	-1
1	4	44	33	-1	-1
1	4	45	40	-1	-1
1	4	49	153	-1	-1
1	4	50	89	-1	-1
1	4	52	83	-1	-1
1	4	55	113	-1	-1
1	4	56	65	-1	-1
1	4	60	61	-1	-1
1	4	62	59	-1	-1
1	4	64	57	-1	-1
1	4	66	48	-1	-1
1	4	75	74	-1	-1
1	4	76	72	-1	-1
1	4	77	71	-1	-1
1	4	78	73	-1	-1
1	4	79	70	-1	-1
1	4	80	69	-1	-1
1	4	81	53	-1	-1
1	4	87	51	-1	-1
1	4	88	162	-1	-1
1	4	90	160	-1	-1
1	4	93	47	-1	-1
1	4	95	94	-1	-1
1	4	96	123	-1	-1
1	4	97	46	-1	-1
1	4	98	92	-1	-1
1	4	100	35	-1	-1
1	4	101	133	-1	-1
1	4	103	109	-1	-1
1	4	108	105	-1	-1
1	4	110	107	-1	-1
1	4	111	102	-1	-1
1	4	114	106	-1	-1
1	4	120	119	-1	-1
1	4	121	118	-1	-1
1	4	122	117	-1	-1
1	4	124	115	-1	-1
1	4	125	116	-1	-1
1	4	126	137	-1	-1
1	4	132	131	-1	-1
1	4	134	129	-1	-1
1	4	135	128	-1	-1
1	4	138	141	-1	-1
1	4	145	144	-1	-1
1	4	147	68	-1	-1
1	4	149	143	-1	-1
1	4	151	142	-1	-1
1	4	155	154	-1	-1
1	4	156	152	-1	-1
1	4	158	34	-1	-1
1	4	161	85	-1	-1
1	4	163	288	-1	-1
1	4	166	86	-1	-1
1	4	167	191	-1	-1
1	4	173	177	-1	-1
1	4	175	174	-1	-1
1	4	178	171	-1	-1
1	4	179	170	-1	-1
1	4	180	169	-1	-1
1	4	182	159	-1	-1
1	4	189	217	-1	-1
1	4	194	67	-1	-1
1	4	197	188	-1	-1
1	4	199	206	-1	-1
1	4	203	202	-1	-1
1	4	204	192	-1	-1
1	4	205	200	-1	-1
1	4	209	210	-1	-1
1	4	211	208	-1	-1
1	4	212	207	-1	-1
1	4	213	234	-1	-1
1	4	221	216	-1	-1
1	4	222	215	-1	-1
1	4	223	214	-1	-1
1	4	226	229	-1	-1
1	4	228	227	-1	-1
1	4	232	233	-1	-1
1	4	235	220	-1	-1
1	4	237	224	-1	-1
1	4	238	181	-1	-1
1	4	243	242	-1	-1
1	4	244	241	-1	-1
1	4	245	240	-1	-1
1	4	247	254	-1	-1
1	4	252	251	-1	-1
1	4	253	250	-1	-1
1	4	255	248	-1	-1
1	4	256	246	-1	-1
1	4	257	39	-1	-1
1	4	261	260	-1	-1
1	4	264	259	-1	-1
1	4	270	269	-1	-1
1	4	271	268	-1	-1
1	4	272	267	-1	-1
1	4	273	266	-1	-1
1	4	277	276	-1	-1
1	4	278	275	-1	-1
1	4	279	274	-1	-1
1	4	283	282	-1	-1
1	4	284	281	-1	-1
1	4	285	280	-1	-1
1	4	287	84	-1	-1
1	4	289	168	-1	-1
1	4	290	165	-1	-1
1	4	292	185	-1	-1
1	5	33	45	-1	-1
1	5	34	43	-1	-1
1	5	35	44	-1	-1
1	5	37	42	-1	-1
1	5	38	39	-1	-1
1	5	48	84	-1	-1
1	5	52	56	-1	-1
1	5	54	83	-1	-1
1	5	55	81	-1	-1
1	5	57	66	-1	-1
1	5	59	64	-1	-1
1	5	60	63	-1	-1
1	5	61	62	-1	-1
1	5	65	46	-1	-1
1	5	69	79	-1	-1
1	5	71	68	-1	-1
1	5	74	80	-1	-1
1	5	76	77	-1	-1
1	5	85	90	-1	-1
1	5	86	82	-1	-1
1	5	89	142	-1	-1
1	5	91	49	-1	-1
1	5	92	151	-1	-1
1	5	93	100	-1	-1
1	5	94	166	-1	-1
1	5	95	98	-1	-1
1	5	96	121	-1	-1
1	5	97	58	-1	-1
1	5	99	70	-1	-1
1	5	101	149	-1	-1
1	5	104	111	-1	-1
1	5	105	102	-1	-1
1	5	107	88	-1	-1
1	5	108	109	-1	-1
1	5	112	106	-1	-1
1	5	113	103	-1	-1
1	5	115	72	-1	-1
1	5	116	129	-1	-1
1	5	117	124	-1	-1
1	5	119	122	-1	-1
1	5	125	114	-1	-1
1	5	128	126	-1	-1
1	5	130	135	-1	-1
1	5	131	134	-1	-1
1	5	132	133	-1	-1
1	5	136	127	-1	-1
1	5	140	138	-1	-1
1	5	143	141	-1	-1
1	5	145	147	-1	-1
1	5	148	146	-1	-1
1	5	150	139	-1	-1
1	5	154	162	-1	-1
1	5	155	156	-1	-1
1	5	158	157	-1	-1
1	5	160	144	-1	-1
1	5	161	153	-1	-1
1	5	164	291	-1	-1
1	5	165	163	-1	-1
1	5	171	169	-1	-1
1	5	172	179	-1	-1
1	5	173	178	-1	-1
1	5	174	288	-1	-1
1	5	175	176	-1	-1
1	5	177	170	-1	-1
1	5	184	236	-1	-1
1	5	185	182	-1	-1
1	5	186	242	-1	-1
1	5	188	292	-1	-1
1	5	193	192	-1	-1
1	5	195	190	-1	-1
1	5	196	189	-1	-1
1	5	198	187	-1	-1
1	5	200	206	-1	-1
1	5	201	204	-1	-1
1	5	202	205	-1	-1
1	5	208	212	-1	-1
1	5	209	207	-1	-1
1	5	210	211	-1	-1
1	5	215	213	-1	-1
1	5	216	223	-1	-1
1	5	218	221	-1	-1
1	5	219	220	-1	-1
1	5	224	231	-1	-1
1	5	228	229	-1	-1
1	5	230	225	-1	-1
1	5	234	214	-1	-1
1	5	237	183	-1	-1
1	5	241	239	-1	-1
1	5	248	246	-1	-1
1	5	250	255	-1	-1
1	5	251	168	-1	-1
1	5	252	256	-1	-1
1	5	254	249	-1	-1
1	5	259	257	-1	-1
1	5	262	261	-1	-1
1	5	263	260	-1	-1
1	5	265	258	-1	-1
1	5	267	273	-1	-1
1	5	270	271	-1	-1
1	5	275	279	-1	-1
1	5	276	274	-1	-1
1	5	277	278	-1	-1
1	5	281	285	-1	-1
1	5	282	280	-1	-1
1	5	283	284	-1	-1
1	5	286	167	-1	-1
1	6	33	35	-1	-1
1	6	34	32	-1	-1
1	6	36	41	-1	-1
1	6	42	39	-1	-1
1	6	43	38	-1	-1
1	6	44	37	-1	-1
1	6	48	97	-1	-1
1	6	49	93	-1	-1
1	6	50	47	-1	-1
1	6	51	91	-1	-1
1	6	52	89	-1	-1
1	6	53	87	-1	-1
1	6	56	46	-1	-1
1	6	57	140	-1	-1
1	6	62	60	-1	-1
1	6	63	58	-1	-1
1	6	64	61	-1	-1
1	6	66	59	-1	-1
1	6	67	75	-1	-1
1	6	68	76	-1	-1
1	6	69	74	-1	-1
1	6	72	79	-1	-1
1	6	77	70	-1	-1
1	6	78	80	-1	-1
1	6	82	83	-1	-1
1	6	88	154	-1	-1
1	6	92	287	-1	-1
1	6	94	86	-1	-1
1	6	98	120	-1	-1
1	6	102	109	-1	-1
1	6	104	108	-1	-1
1	6	106	113	-1	-1
1	6	107	103	-1	-1
1	6	110	112	-1	-1
1	6	111	105	-1	-1
1	6	114	118	-1	-1
1	6	115	125	-1	-1
1	6	122	121	-1	-1
1	6	123	116	-1	-1
1	6	124	119	-1	-1
1	6	126	130	-1	-1
1	6	129	136	-1	-1
1	6	133	135	-1	-1
1	6	137	40	-1	-1
1	6	138	145	-1	-1
1	6	139	84	-1	-1
1	6	144	150	-1	-1
1	6	147	146	-1	-1
1	6	149	148	-1	-1
1	6	152	85	-1	-1
1	6	155	99	-1	-1
1	6	157	90	-1	-1
1	6	158	161	-1	-1
1	6	159	160	-1	-1
1	6	162	101	-1	-1
1	6	168	291	-1	-1
1	6	169	173	-1	-1
1	6	170	180	-1	-1
1	6	178	175	-1	-1
1	6	183	238	-1	-1
1	6	184	181	-1	-1
1	6	185	188	-1	-1
1	6	187	182	-1	-1
1	6	189	198	-1	-1
1	6	190	197	-1	-1
1	6	191	196	-1	-1
1	6	192	195	-1	-1
1	6	194	193	-1	-1
1	6	200	202	-1	-1
1	6	201	199	-1	-1
1	6	203	204	-1	-1
1	6	206	292	-1	-1
1	6	207	211	-1	-1
1	6	208	210	-1	-1
1	6	209	100	-1	-1
1	6	217	222	-1	-1
1	6	219	73	-1	-1
1	6	221	220	-1	-1
1	6	223	218	-1	-1
1	6	225	231	-1	-1
1	6	226	224	-1	-1
1	6	227	230	-1	-1
1	6	232	236	-1	-1
1	6	234	215	-1	-1
1	6	235	186	-1	-1
1	6	237	233	-1	-1
1	6	240	267	-1	-1
1	6	242	245	-1	-1
1	6	246	250	-1	-1
1	6	247	248	-1	-1
1	6	249	256	-1	-1
1	6	251	254	-1	-1
1	6	259	163	-1	-1
1	6	260	265	-1	-1
1	6	261	264	-1	-1
1	6	262	263	-1	-1
1	6	268	266	-1	-1
1	6	269	272	-1	-1
1	6	270	255	-1	-1
1	6	274	278	-1	-1
1	6	275	277	-1	-1
1	6	279	276	-1	-1
1	6	280	284	-1	-1
1	6	285	282	-1	-1
1	6	286	290	-1	-1
1	6	288	289	-1	-1
1	7	36	43	-1	-1
1	7	37	33	-1	-1
1	7	39	40	-1	-1
1	7	42	124	-1	-1
1	7	45	34	-1	-1
1	7	46	58	-1	-1
1	7	47	52	-1	-1
1	7	49	51	-1	-1
1	7	57	97	-1	-1
1	7	59	48	-1	-1
1	7	61	66	-1	-1
1	7	63	64	-1	-1
1	7	65	60	-1	-1
1	7	71	62	-1	-1
1	7	72	112	-1	-1
1	7	75	73	-1	-1
1	7	78	69	-1	-1
1	7	80	67	-1	-1
1	7	82	94	-1	-1
1	7	83	81	-1	-1
1	7	84	92	-1	-1
1	7	85	155	-1	-1
1	7	87	143	-1	-1
1	7	89	54	-1	-1
1	7	90	159	-1	-1
1	7	91	53	-1	-1
1	7	93	50	-1	-1
1	7	99	125	-1	-1
1	7	100	96	-1	-1
1	7	101	55	-1	-1
1	7	102	104	-1	-1
1	7	103	74	-1	-1
1	7	106	110	-1	-1
1	7	109	105	-1	-1
1	7	113	107	-1	-1
1	7	115	117	-1	-1
1	7	116	114	-1	-1
1	7	118	123	-1	-1
1	7	120	121	-1	-1
1	7	122	134	-1	-1
1	7	130	128	-1	-1
1	7	133	126	-1	-1
1	7	135	132	-1	-1
1	7	136	131	-1	-1
1	7	139	144	-1	-1
1	7	141	148	-1	-1
1	7	145	140	-1	-1
1	7	146	151	-1	-1
1	7	149	142	-1	-1
1	7	150	138	-1	-1
1	7	153	111	-1	-1
1	7	161	160	-1	-1
1	7	162	156	-1	-1
1	7	163	286	-1	-1
1	7	164	168	-1	-1
1	7	166	98	-1	-1
1	7	170	172	-1	-1
1	7	174	177	-1	-1
1	7	176	179	-1	-1
1	7	180	171	-1	-1
1	7	181	232	-1	-1
1	7	182	189	-1	-1
1	7	183	186	-1	-1
1	7	195	194	-1	-1
1	7	196	193	-1	-1
1	7	197	192	-1	-1
1	7	198	191	-1	-1
1	7	199	203	-1	-1
1	7	205	204	-1	-1
1	7	206	201	-1	-1
1	7	207	208	-1	-1
1	7	212	209	-1	-1
1	7	213	217	-1	-1
1	7	214	216	-1	-1
1	7	215	127	-1	-1
1	7	219	218	-1	-1
1	7	220	223	-1	-1
1	7	221	222	-1	-1
1	7	224	228	-1	-1
1	7	225	227	-1	-1
1	7	230	229	-1	-1
1	7	231	226	-1	-1
1	7	233	235	-1	-1
1	7	238	184	-1	-1
1	7	239	245	-1	-1
1	7	240	77	-1	-1
1	7	243	244	-1	-1
1	7	246	202	-1	-1
1	7	247	249	-1	-1
1	7	250	248	-1	-1
1	7	254	253	-1	-1
1	7	255	280	-1	-1
1	7	256	251	-1	-1
1	7	259	260	-1	-1
1	7	264	263	-1	-1
1	7	265	262	-1	-1
1	7	266	270	-1	-1
1	7	267	269	-1	-1
1	7	272	271	-1	-1
1	7	273	268	-1	-1
1	7	274	275	-1	-1
1	7	278	276	-1	-1
1	7	279	236	-1	-1
1	7	281	283	-1	-1
1	7	284	282	-1	-1
1	7	287	95	-1	-1
1	7	290	289	-1	-1
1	7	291	288	-1	-1
1	7	292	190	-1	-1
1	8	32	36	-1	-1
1	8	34	38	-1	-1
1	8	35	45	-1	-1
1	8	39	44	-1	-1
1	8	41	40	-1	-1
1	8	43	42	-1	-1
1	8	48	57	-1	-1
1	8	51	61	-1	-1
1	8	52	50	-1	-1
1	8	53	49	-1	-1
1	8	54	47	-1	-1
1	8	55	91	-1	-1
1	8	58	65	-1	-1
1	8	59	60	-1	-1
1	8	63	62	-1	-1
1	8	68	75	-1	-1
1	8	69	67	-1	-1
1	8	72	70	-1	-1
1	8	74	78	-1	-1
1	8	76	101	-1	-1
1	8	79	77	-1	-1
1	8	81	89	-1	-1
1	8	83	87	-1	-1
1	8	84	95	-1	-1
1	8	85	99	-1	-1
1	8	97	56	-1	-1
1	8	98	82	-1	-1
1	8	100	92	-1	-1
1	8	103	106	-1	-1
1	8	105	104	-1	-1
1	8	108	111	-1	-1
1	8	109	73	-1	-1
1	8	110	113	-1	-1
1	8	112	107	-1	-1
1	8	114	122	-1	-1
1	8	117	119	-1	-1
1	8	118	162	-1	-1
1	8	121	124	-1	-1
1	8	123	120	-1	-1
1	8	127	129	-1	-1
1	8	128	137	-1	-1
1	8	132	126	-1	-1
1	8	134	71	-1	-1
1	8	135	131	-1	-1
1	8	139	138	-1	-1
1	8	140	146	-1	-1
1	8	141	144	-1	-1
1	8	148	143	-1	-1
1	8	150	147	-1	-1
1	8	153	158	-1	-1
1	8	154	96	-1	-1
1	8	155	152	-1	-1
1	8	156	88	-1	-1
1	8	159	157	-1	-1
1	8	161	145	-1	-1
1	8	167	265	-1	-1
1	8	172	180	-1	-1
1	8	173	171	-1	-1
1	8	175	169	-1	-1
1	8	176	177	-1	-1
1	8	178	130	-1	-1
1	8	179	174	-1	-1
1	8	185	211	-1	-1
1	8	186	237	-1	-1
1	8	189	187	-1	-1
1	8	190	208	-1	-1
1	8	191	182	-1	-1
1	8	193	198	-1	-1
1	8	194	197	-1	-1
1	8	195	196	-1	-1
1	8	203	201	-1	-1
1	8	204	200	-1	-1
1	8	209	223	-1	-1
1	8	210	212	-1	-1
1	8	213	221	-1	-1
1	8	216	234	-1	-1
1	8	217	215	-1	-1
1	8	222	219	-1	-1
1	8	227	231	-1	-1
1	8	228	226	-1	-1
1	8	229	225	-1	-1
1	8	230	224	-1	-1
1	8	233	183	-1	-1
1	8	235	181	-1	-1
1	8	239	243	-1	-1
1	8	240	242	-1	-1
1	8	241	46	-1	-1
1	8	245	244	-1	-1
1	8	251	247	-1	-1
1	8	253	256	-1	-1
1	8	255	252	-1	-1
1	8	257	261	-1	-1
1	8	258	260	-1	-1
1	8	259	263	-1	-1
1	8	262	238	-1	-1
1	8	266	272	-1	-1
1	8	270	268	-1	-1
1	8	271	267	-1	-1
1	8	276	275	-1	-1
1	8	277	279	-1	-1
1	8	280	281	-1	-1
1	8	285	284	-1	-1
1	8	286	165	-1	-1
1	8	287	86	-1	-1
1	8	288	164	-1	-1
1	8	290	291	-1	-1
1	9	33	39	-1	-1
1	9	35	37	-1	-1
1	9	36	34	-1	-1
1	9	38	32	-1	-1
1	9	40	43	-1	-1
1	9	41	42	-1	-1
1	9	47	81	-1	-1
1	9	49	55	-1	-1
1	9	50	54	-1	-1
1	9	58	56	-1	-1
1	9	60	64	-1	-1
1	9	61	57	-1	-1
1	9	62	65	-1	-1
1	9	66	63	-1	-1
1	9	71	69	-1	-1
1	9	73	80	-1	-1
1	9	78	152	-1	-1
1	9	79	68	-1	-1
1	9	82	84	-1	-1
1	9	85	91	-1	-1
1	9	86	98	-1	-1
1	9	89	87	-1	-1
1	9	92	95	-1	-1
1	9	93	52	-1	-1
1	9	104	110	-1	-1
1	9	107	106	-1	-1
1	9	108	102	-1	-1
1	9	111	109	-1	-1
1	9	113	112	-1	-1
1	9	117	125	-1	-1
1	9	118	116	-1	-1
1	9	119	115	-1	-1
1	9	120	100	-1	-1
1	9	122	135	-1	-1
1	9	126	134	-1	-1
1	9	128	53	-1	-1
1	9	129	137	-1	-1
1	9	131	127	-1	-1
1	9	132	130	-1	-1
1	9	133	136	-1	-1
1	9	138	144	-1	-1
1	9	140	150	-1	-1
1	9	142	45	-1	-1
1	9	143	157	-1	-1
1	9	146	96	-1	-1
1	9	147	139	-1	-1
1	9	151	149	-1	-1
1	9	154	156	-1	-1
1	9	158	90	-1	-1
1	9	160	153	-1	-1
1	9	161	44	-1	-1
1	9	164	290	-1	-1
1	9	166	287	-1	-1
1	9	168	288	-1	-1
1	9	169	177	-1	-1
1	9	171	175	-1	-1
1	9	172	174	-1	-1
1	9	176	97	-1	-1
1	9	180	173	-1	-1
1	9	181	237	-1	-1
1	9	182	193	-1	-1
1	9	183	271	-1	-1
1	9	186	238	-1	-1
1	9	188	194	-1	-1
1	9	190	185	-1	-1
1	9	192	292	-1	-1
1	9	197	196	-1	-1
1	9	198	195	-1	-1
1	9	200	201	-1	-1
1	9	202	206	-1	-1
1	9	205	199	-1	-1
1	9	210	207	-1	-1
1	9	211	209	-1	-1
1	9	215	219	-1	-1
1	9	225	224	-1	-1
1	9	226	230	-1	-1
1	9	231	228	-1	-1
1	9	232	184	-1	-1
1	9	234	217	-1	-1
1	9	236	235	-1	-1
1	9	239	242	-1	-1
1	9	241	243	-1	-1
1	9	244	240	-1	-1
1	9	247	253	-1	-1
1	9	248	256	-1	-1
1	9	249	251	-1	-1
1	9	252	246	-1	-1
1	9	254	255	-1	-1
1	9	258	262	-1	-1
1	9	260	264	-1	-1
1	9	261	259	-1	-1
1	9	263	167	-1	-1
1	9	267	266	-1	-1
1	9	268	272	-1	-1
1	9	269	273	-1	-1
1	9	277	274	-1	-1
1	9	280	94	-1	-1
1	9	282	281	-1	-1
1	9	283	285	-1	-1
1	9	284	276	-1	-1
1	9	289	163	-1	-1
1	9	291	165	-1	-1
1	10	34	139	-1	-1
1	10	39	35	-1	-1
1	10	40	32	-1	-1
1	10	41	99	-1	-1
1	10	43	44	-1	-1
1	10	45	36	-1	-1
1	10	46	62	-1	-1
1	10	48	61	-1	-1
1	10	51	93	-1	-1
1	10	53	55	-1	-1
1	10	54	52	-1	-1
1	10	56	60	-1	-1
1	10	57	59	-1	-1
1	10	65	66	-1	-1
1	10	70	68	-1	-1
1	10	71	79	-1	-1
1	10	72	77	-1	-1
1	10	74	73	-1	-1
